Barangay Name,Latitude,Longitude,HubName,HubDist
San Roque,14.6281,121.0984,Sta. Lucia Grandmall,887.7383493
Concepcion Dos,14.6386,121.1117,Bayan Bayanan,1643.764433
Calumpang,14.6238,121.0928,Ligaya,589.7349509
Barangka,14.6327,121.0821,Riverbanks,42.36818492
Jesus de La Pena,14.6367,121.091,Marikina Bayan,376.1940211
Tumana,14.6562,121.0973,Tumana,738.4769264
Industrial Valley,14.6271,121.08,SM Marikina,654.1516549
Fortune,14.6632,121.1274,Nangka,2179.422345
Concepcion Uno,14.6497,121.102,Bayan Bayanan,135.8795617
Parang,14.659,121.1123,Fairlane,790.3690496
Nangka,14.6726,121.1092,Nangka,303.9249451
Marikina Heights,14.6501,121.117,Tumana,1517.657428
Malanday,14.65,121.0941,Golden Valley,399.4056262
Tanong,14.6344,121.0867,Tanong,29.19257343
Santo Nino,14.6367,121.0973,Marikina Bayan,329.3999358
Santa Elena,14.6328,121.0977,Marikina Bayan,490.5685199
